command,man_page_url
base64,https://man7.org/linux/man-pages/man1/base64.1.html
basename,https://man7.org/linux/man-pages/man1/basename.1.html
basename,https://man7.org/linux/man-pages/man1/basename.1p.html
basenc,https://man7.org/linux/man-pages/man1/basenc.1.html
bash,https://man7.org/linux/man-pages/man1/bash.1.html
batch,https://man7.org/linux/man-pages/man1/batch.1p.html
bc,https://man7.org/linux/man-pages/man1/bc.1p.html
bg,https://man7.org/linux/man-pages/man1/bg.1p.html
blkparse,https://man7.org/linux/man-pages/man1/blkparse.1.html
blkrawverify,https://man7.org/linux/man-pages/man1/blkrawverify.1.html
bno_plot,https://man7.org/linux/man-pages/man1/bno_plot.1.html
bootctl,https://man7.org/linux/man-pages/man1/bootctl.1.html
break,https://man7.org/linux/man-pages/man1/break.1p.html
btt,https://man7.org/linux/man-pages/man1/btt.1.html
busctl,https://man7.org/linux/man-pages/man1/busctl.1.html
c++filt,https://man7.org/linux/man-pages/man1/c++filt.1.html
c99,https://man7.org/linux/man-pages/man1/c99.1p.html
cal,https://man7.org/linux/man-pages/man1/cal.1.html
cal,https://man7.org/linux/man-pages/man1/cal.1p.html
callgrind_annotate,https://man7.org/linux/man-pages/man1/callgrind_annotate.1.html
callgrind_control,https://man7.org/linux/man-pages/man1/callgrind_control.1.html
cancel,https://man7.org/linux/man-pages/man1/cancel.1.html
capsh,https://man7.org/linux/man-pages/man1/capsh.1.html
cat,https://man7.org/linux/man-pages/man1/cat.1.html
cat,https://man7.org/linux/man-pages/man1/cat.1p.html
cd,https://man7.org/linux/man-pages/man1/cd.1p.html
cdrwtool,https://man7.org/linux/man-pages/man1/cdrwtool.1.html
certtool,https://man7.org/linux/man-pages/man1/certtool.1.html
cflow,https://man7.org/linux/man-pages/man1/cflow.1p.html
cg_annotate,https://man7.org/linux/man-pages/man1/cg_annotate.1.html
cgcc,https://man7.org/linux/man-pages/man1/cgcc.1.html
cg_diff,https://man7.org/linux/man-pages/man1/cg_diff.1.html
cg_merge,https://man7.org/linux/man-pages/man1/cg_merge.1.html
